beds,city,date,size,type,baths,price,neighborhood,avg_size,total_rooms
5,12,2025-02-19T04:38:35.432Z,3000 sqft,30,5,12500000.0,136,3000.0,10
0,25,2025-02-19T04:38:35.432Z,7200 sqft,44,0,16000000.0,99,7200.0,0
2,24,2025-02-19T04:38:35.432Z,4500 sqft,8,2,20000000.0,168,4500.0,4
7,23,2025-02-19T04:38:35.432Z,4338 sqft,32,7,20000000.0,192,4338.0,14
4,12,2025-02-19T04:38:34.048Z,3900 sqft,34,3,30000000.0,196,3900.0,7
12,12,2025-02-19T04:38:34.048Z,8500 sqft,35,12,42000000.0,119,8500.0,24
5,12,2025-02-19T04:38:34.048Z,2430 sqft,35,4,33000000.0,152,2430.0,9
2,12,2025-02-19T04:38:34.048Z,1980 sqft,34,2,30000000.0,23,1980.0,4
0,12,2025-02-19T04:38:34.048Z,4464 sqft,39,0,32500000.0,112,4464.0,0
10,12,2025-02-19T04:38:34.048Z,484 sqft,35,6,33900000.0,152,484.0,16
4,12,2025-02-19T04:38:34.048Z,2655 sqft,35,5,25000000.0,145,2655.0,9
2,12,2025-02-19T04:38:34.048Z,1800 sqft,35,3,25000000.0,6,1800.0,5
5,12,2025-02-19T04:38:34.048Z,3150 sqft,35,5,25000000.0,139,3150.0,10
0,12,2025-02-19T04:38:34.048Z,46609 sqft,39,0,25000000.0,26,46609.0,0
0,24,3mo ago,2718 sqft,44,0,30000000.0,35,2718.0,0
3,24,3mo ago,1380 sqft,16,2,7000000.0,58,1380.0,5
0,24,3mo ago,94525 sqft,44,0,15100000.0,2,94525.0,0
2,24,3mo ago,980 sqft,6,2,4500000.0,82,980.0,4
2,24,3mo ago,920 sqft,6,2,4500000.0,127,920.0,4
0,24,3mo ago,1503 sqft,44,0,3000000.0,12,1503.0,0
3,24,3mo ago,1500 sqft,16,2,12500000.0,82,1500.0,5
2,24,3mo ago,1200 sqft,7,2,8500000.0,105,1200.0,4
0,24,3mo ago,740520 sqft,45,0,40000000.0,113,740520.0,0
0,24,3mo ago,1440 sqft,44,0,5500000.0,219,1440.0,0
2,18,2025-02-19,sq.ft,33,2,17400.0,117,,4
3,18,2025-02-19,sq.ft,33,2,13500.0,117,,5
3,18,2025-02-19,sq.ft,33,2,13400.0,18,,5
2,18,2025-02-19,sq.ft,33,2,7250.0,117,,4
2,18,2025-02-19,sq.ft,33,2,12500.0,117,,4
3,18,2025-02-19,sq.ft,33,2,14800.0,117,,5
3,18,2025-02-19,sq.ft,33,2,13250.0,18,,5
2,18,2025-02-19,sq.ft,33,2,8250.0,117,,4
2,18,2025-02-19,sq.ft,33,2,11250.0,117,,4
3,18,2025-02-19,sq.ft,33,2,15200.0,117,,5
0,9,2025-01-19,2160 sqft,44,0,2000000.0,103,2160.0,0
0,9,2025-01-19,2095 sqft,44,0,3726000.0,75,2095.0,0
0,9,2025-01-19,1350 sqft,44,0,5400000.0,107,1350.0,0
3,9,2025-01-19,1795 sqft,16,3,10500000.0,108,1795.0,6
3,9,2025-01-19,1965 sqft,16,4,25300000.0,74,1965.0,7
2,9,2025-01-19,1290 sqft,6,2,16000000.0,74,1290.0,4
0,9,2025-01-19,3780 sqft,44,0,58000000.0,193,3780.0,0
0,9,2025-01-19,1800 sqft,44,0,5200000.0,9,1800.0,0
0,9,2025-01-19,1665 sqft,44,0,2960000.0,172,1665.0,0
0,9,2025-01-19,3870 sqft,44,0,56000000.0,111,3870.0,0
0,3,2025-02-19,2400 - 4800 sq.ft.,39,0,19000000.0,31,3600.0,0
2,3,2025-02-19,1165 sq.ft.,5,0,7514000.0,129,1165.0,2
